"NAME","key","value"
"HAMILTON","PCTBLACK",23.71
"HAMMOND","PCTWHITE",78.23
"HAMPTON","PCTWHITE",53.7
"HAMPTON","PCTBLACK",40.3
"HANCOCK","PCTWHITE",87.33
"HANNA","PCTWHITE",87.09
"HANSEN","PCTWHITE",94.22
"HANSON","PCTWHITE",92.11
"HARDIN","PCTWHITE",77.67
"HARDING","PCTWHITE",80.14
"HARDY","PCTWHITE",61.47
"HARDY","PCTBLACK",32.34
"HARMON","PCTWHITE",77.26
"HARPER","PCTWHITE",67.9
"HARPER","PCTBLACK",26.22
"HARRELL","PCTWHITE",66.08
"HARRELL","PCTBLACK",28.84
"HARRINGTON","PCTWHITE",82.01
"HARRIS","PCTWHITE",51.4
"HARRIS","PCTBLACK",42.39
"HARRISON","PCTWHITE",68.66
"HARRISON","PCTBLACK",24.45
"HART","PCTWHITE",80.54
"HARTMAN","PCTWHITE",93.86
"HARVEY","PCTWHITE",68
"HARVEY","PCTBLACK",25
"HAWKINS","PCTWHITE",61.08
"HAWKINS","PCTBLACK",32.75
"HAYDEN","PCTWHITE",80.59
"HAYES","PCTWHITE",69.38
"HAYES","PCTBLACK",24.69
"HAYNES","PCTWHITE",61.08
"HAYNES","PCTBLACK",33.19
"HEATH","PCTWHITE",80.3
"HEBERT","PCTWHITE",90.43
"HENDERSON","PCTWHITE",59.63
"HENDERSON","PCTBLACK",33.98
"HENDRICKS","PCTWHITE",75.7
"HENDRIX","PCTWHITE",77.99
"HENRY","PCTWHITE",61.43
"HENRY","PCTBLACK",30.68
"HENSLEY","PCTWHITE",92.83
"HENSON","PCTWHITE",82.06
"HERMAN","PCTWHITE",90.49
"HERNANDEZ","PCTHISPANIC",94.89
"HERRERA","PCTHISPANIC",93.03
"HERRING","PCTWHITE",72.71
"HERRING","PCTBLACK",22.05
"HESS","PCTWHITE",94.63
"HESTER","PCTWHITE",73.1
"HESTER","PCTBLACK",21.94
"HICKMAN","PCTWHITE",75.17
"HICKS","PCTWHITE",67.37
"HICKS","PCTBLACK",26.88
"HIGGINS","PCTWHITE",83.91
"HILL","PCTWHITE",64.36
"HILL","PCTBLACK",29.12
"HINES","PCTWHITE",57.72
"HINES","PCTBLACK",36.73
"HINTON","PCTWHITE",53.16
"HINTON","PCTBLACK",40.63
"HO","PCTAPI",93.06
"HOBBS","PCTWHITE",79.07
"HODGE","PCTWHITE",68.67
"HODGE","PCTBLACK",24.92
"HODGES","PCTWHITE",73.41
"HODGES","PCTBLACK",20.9
"HOFFMAN","PCTWHITE",94.08
"HOGAN","PCTWHITE",80.12
"HOLLAND","PCTWHITE",76.77
"HOLLOWAY","PCTWHITE",58.27
"HOLLOWAY","PCTBLACK",36.07
"HOLMES","PCTWHITE",56.79
"HOLMES","PCTBLACK",37.28
"HOLT","PCTWHITE",79.38
"HOOD","PCTWHITE",74.07
"HOOD","PCTBLACK",20.16
"HOOVER","PCTWHITE",92.03
"HOPKINS","PCTWHITE",73.56
"HOPKINS","PCTBLACK",20.66
"HORN","PCTWHITE",85.15
"HORNE","PCTWHITE",70.93
"HORNE","PCTBLACK",24.03
"HORTON","PCTWHITE",69.99
"HORTON","PCTBLACK",24.3
"HOUSE","PCTWHITE",75.1
"HOUSTON","PCTWHITE",52.07
"HOUSTON","PCTBLACK",41.49
"HOWARD","PCTWHITE",64.31
"HOWARD","PCTBLACK",29.49
"HOWE","PCTWHITE",90.62
"HOWELL","PCTWHITE",79.48
"HUANG","PCTAPI",97.14
"HUBBARD","PCTWHITE",71.05
"HUBBARD","PCTBLACK",23.15
"HUBER","PCTWHITE",95.17
"HUDSON","PCTWHITE",66.88
"HUDSON","PCTBLACK",27.42
"HUERTA","PCTHISPANIC",95.47
"HUFF","PCTWHITE",81.37
"HUFFMAN","PCTWHITE",91.2
"HUGHES","PCTWHITE",78.39
"HULL","PCTWHITE",85.54
"HUMPHREY","PCTWHITE",71.31
"HUMPHREY","PCTBLACK",23.21
"HUNT","PCTWHITE",73.57
"HUNTER","PCTWHITE",60.78
"HUNTER","PCTBLACK",32.69
"HURLEY","PCTWHITE",90.71
"HURST","PCTWHITE",84.5
"HUTCHINSON","PCTWHITE",75.38
"HUYNH","PCTAPI",96.68
"IBARRA","PCTHISPANIC",95.32
"INGRAM","PCTWHITE",61.45
"INGRAM","PCTBLACK",32.98
"JACKSON","PCTBLACK",53.04
"JACKSON","PCTWHITE",39.89
"JACOBS","PCTWHITE",74.28
"JACOBSON","PCTWHITE",94.66
"JAMES","PCTWHITE",51.58
"JAMES","PCTBLACK",38.86
"JARAMILLO","PCTHISPANIC",90.28
"JARVIS","PCTWHITE",84.87
"JEFFERSON","PCTBLACK",74.24
"JENKINS","PCTWHITE",57.76
"JENKINS","PCTBLACK",36.78
"JENNINGS","PCTWHITE",70.87
"JENNINGS","PCTBLACK",23.06
"JENSEN","PCTWHITE",93.97
"JIMENEZ","PCTHISPANIC",93.97
"JOHNS","PCTWHITE",79.78
"JOHNSON","PCTWHITE",58.97
"JOHNSON","PCTBLACK",34.63
"JOHNSTON","PCTWHITE",91.62
"JONES","PCTWHITE",55.19
"JONES","PCTBLACK",38.48
"JORDAN","PCTWHITE",61.44
"JORDAN","PCTBLACK",30.73
"JOSEPH","PCTBLACK",54.19
"JOSEPH","PCTWHITE",29.59
"JUAREZ","PCTHISPANIC",95.66
"KANE","PCTWHITE",89.08
"KAUR","PCTAPI",96.09
"KEITH","PCTWHITE",79.32
"KELLER","PCTWHITE",91.4
"KELLEY","PCTWHITE",83.78
"KELLY","PCTWHITE",78.09
"KEMP","PCTWHITE",71.72
"KEMP","PCTBLACK",22.83
"KENNEDY","PCTWHITE",80.82
"KENT","PCTWHITE",83.88
"KERR","PCTWHITE",86.86
"KHAN","PCTAPI",81.25
"KIM","PCTAPI",94.47
"KING","PCTWHITE",70.16
"KING","PCTBLACK",22.76
"KIRBY","PCTWHITE",85.9
"KIRK","PCTWHITE",82.37
"KLEIN","PCTWHITE",95.41
"KLINE","PCTWHITE",94.18
"KNAPP","PCTWHITE",94.71
"KNIGHT","PCTWHITE",72.31
"KNIGHT","PCTBLACK",21.61
"KNOX","PCTWHITE",63.4
